"d","t","travelers","CumulativeT"
"2","2018-09-18 05:13:16","1","163"
"2","2018-09-18 05:13:51","1","164"
"2","2018-09-18 05:13:58","1","165"
"2","2018-09-18 05:14:04","1","166"
"2","2018-09-18 05:14:27","1","167"
"2","2018-09-18 05:14:33","2","169"
"2","2018-09-18 05:14:38","1","170"
"2","2018-09-18 05:14:40","1","171"
"2","2018-09-18 05:14:44","1","172"
"2","2018-09-18 05:14:52","1","173"
"2","2018-09-18 05:15:03","2","175"
"2","2018-09-18 05:15:04","1","176"
"2","2018-09-18 05:15:06","1","177"
"2","2018-09-18 05:15:08","1","178"
"2","2018-09-18 05:15:09","1","179"
"2","2018-09-18 05:15:21","1","180"
"4","2018-09-18 05:15:28","1","181"
"2","2018-09-18 05:15:43","1","182"
"4","2018-09-18 05:15:44","1","183"
"2","2018-09-18 05:15:46","1","184"
"2","2018-09-18 05:15:55","1","185"
"2","2018-09-18 05:15:56","2","187"
"2","2018-09-18 05:15:58","1","188"
"2","2018-09-18 05:15:59","1","189"
"4","2018-09-18 05:16:05","1","190"
"2","2018-09-18 05:16:06","1","191"
"2","2018-09-18 05:16:08","1","192"
"2","2018-09-18 05:16:12","1","193"
"2","2018-09-18 05:16:34","1","194"
"2","2018-09-18 05:16:49","1","195"
"4","2018-09-18 05:17:18","1","196"
"2","2018-09-18 05:17:32","1","197"
"2","2018-09-18 05:17:39","1","198"
"2","2018-09-18 05:17:45","1","199"
"4","2018-09-18 05:18:04","1","200"
"2","2018-09-18 05:18:26","3","203"
"2","2018-09-18 05:18:30","1","204"
"2","2018-09-18 05:18:44","1","205"
"2","2018-09-18 05:18:47","1","206"
"2","2018-09-18 05:18:50","1","207"
"4","2018-09-18 05:18:55","1","208"
"2","2018-09-18 05:18:59","1","209"
"2","2018-09-18 05:19:15","1","210"
"2","2018-09-18 05:19:18","1","211"
"2","2018-09-18 05:19:22","1","212"
"2","2018-09-18 05:19:31","1","213"
"2","2018-09-18 05:19:34","1","214"
"2","2018-09-18 05:19:35","1","215"
"2","2018-09-18 05:19:45","2","217"
"2","2018-09-18 05:19:51","1","218"
"2","2018-09-18 05:19:53","1","219"
"4","2018-09-18 05:19:56","1","220"
"2","2018-09-18 05:19:58","1","221"
"2","2018-09-18 05:20:00","1","222"
"2","2018-09-18 05:20:06","1","223"
"2","2018-09-18 05:20:10","1","224"
"2","2018-09-18 05:20:11","1","225"
"2","2018-09-18 05:20:12","1","226"
"2","2018-09-18 05:20:19","2","228"
"2","2018-09-18 05:20:27","1","229"
"2","2018-09-18 05:20:29","1","230"
"2","2018-09-18 05:20:30","2","232"
"2","2018-09-18 05:20:31","1","233"
"2","2018-09-18 05:20:35","1","234"
"2","2018-09-18 05:20:50","1","235"
"2","2018-09-18 05:20:56","1","236"
"2","2018-09-18 05:21:06","1","237"
"2","2018-09-18 05:21:09","1","238"
"2","2018-09-18 05:21:11","2","240"
"2","2018-09-18 05:21:15","1","241"
"2","2018-09-18 05:21:42","1","242"
"4","2018-09-18 05:21:49","1","243"
"2","2018-09-18 05:22:28","1","244"
"2","2018-09-18 05:22:32","1","245"
"2","2018-09-18 05:22:40","1","246"
"4","2018-09-18 05:22:42","2","248"
"2","2018-09-18 05:22:46","1","249"
"2","2018-09-18 05:22:47","2","251"
"2","2018-09-18 05:22:49","1","252"
"2","2018-09-18 05:22:50","1","253"
"2","2018-09-18 05:22:51","1","254"
"2","2018-09-18 05:22:56","1","255"
"2","2018-09-18 05:23:09","1","256"
"2","2018-09-18 05:23:18","1","257"
"2","2018-09-18 05:23:20","1","258"
"2","2018-09-18 05:23:30","1","259"
"2","2018-09-18 05:23:41","1","260"
"4","2018-09-18 05:23:47","1","261"
"4","2018-09-18 05:23:48","1","262"
"2","2018-09-18 05:23:49","1","263"
"2","2018-09-18 05:24:03","1","264"
"2","2018-09-18 05:24:11","2","266"
"2","2018-09-18 05:24:19","1","267"
"2","2018-09-18 05:24:20","1","268"
"2","2018-09-18 05:24:32","1","269"
"2","2018-09-18 05:24:34","1","270"
"2","2018-09-18 05:24:44","1","271"
"4","2018-09-18 05:24:54","2","273"
"2","2018-09-18 05:24:55","1","274"
"2","2018-09-18 05:25:00","1","275"
"2","2018-09-18 05:25:02","1","276"
"2","2018-09-18 05:25:04","1","277"
"2","2018-09-18 05:25:15","1","278"
"2","2018-09-18 05:25:19","1","279"
"4","2018-09-18 05:25:24","1","280"
"2","2018-09-18 05:25:27","1","281"
"2","2018-09-18 05:25:29","1","282"
"4","2018-09-18 05:25:37","1","283"
"4","2018-09-18 05:26:06","1","284"
"4","2018-09-18 05:26:09","1","285"
"2","2018-09-18 05:26:14","1","286"
"4","2018-09-18 05:26:17","1","287"
"4","2018-09-18 05:26:18","1","288"
"4","2018-09-18 05:26:22","1","289"
"4","2018-09-18 05:26:23","1","290"
"4","2018-09-18 05:26:25","1","291"
"2","2018-09-18 05:26:31","1","292"
"4","2018-09-18 05:26:35","1","293"
"2","2018-09-18 05:26:54","1","294"
"2","2018-09-18 05:26:58","1","295"
"2","2018-09-18 05:26:59","2","297"
"4","2018-09-18 05:27:05","1","298"
"2","2018-09-18 05:27:20","1","299"
"2","2018-09-18 05:27:27","1","300"
"2","2018-09-18 05:27:41","1","301"
"2","2018-09-18 05:27:48","1","302"
"2","2018-09-18 05:27:52","1","303"
"2","2018-09-18 05:27:55","1","304"
"4","2018-09-18 05:27:59","1","305"
"2","2018-09-18 05:28:02","2","307"
"2","2018-09-18 05:28:03","1","308"
"2","2018-09-18 05:28:21","1","309"
"2","2018-09-18 05:28:23","1","310"
"2","2018-09-18 05:28:25","1","311"
"2","2018-09-18 05:28:33","1","312"
"2","2018-09-18 05:28:50","1","313"
"2","2018-09-18 05:28:55","1","314"
"2","2018-09-18 05:29:01","1","315"
"4","2018-09-18 05:29:02","1","316"
"2","2018-09-18 05:29:08","1","317"
"2","2018-09-18 05:29:09","1","318"
"2","2018-09-18 05:29:14","1","319"
"4","2018-09-18 05:29:18","1","320"
"4","2018-09-18 05:29:22","1","321"
"2","2018-09-18 05:29:36","1","322"
"2","2018-09-18 05:29:52","1","323"
"2","2018-09-18 05:29:55","1","324"
"2","2018-09-18 05:29:58","1","325"
"2","2018-09-18 05:29:59","1","326"
"2","2018-09-18 05:30:00","1","327"
"2","2018-09-18 05:30:02","1","328"
"2","2018-09-18 05:30:05","1","329"
"2","2018-09-18 05:30:19","1","330"
"2","2018-09-18 05:30:22","1","331"
"2","2018-09-18 05:30:27","2","333"
"4","2018-09-18 05:30:35","2","335"
"4","2018-09-18 05:30:50","1","336"
"2","2018-09-18 05:30:57","1","337"
"2","2018-09-18 05:31:03","1","338"
"2","2018-09-18 05:31:10","1","339"
"2","2018-09-18 05:31:12","1","340"
"2","2018-09-18 05:31:13","1","341"
"2","2018-09-18 05:31:24","1","342"
"2","2018-09-18 05:31:27","1","343"
"2","2018-09-18 05:31:32","1","344"
"2","2018-09-18 05:31:37","2","346"
"2","2018-09-18 05:31:40","1","347"
"4","2018-09-18 05:31:41","1","348"
"2","2018-09-18 05:31:43","1","349"
"2","2018-09-18 05:31:48","1","350"
"2","2018-09-18 05:32:00","1","351"
"2","2018-09-18 05:32:06","1","352"
"2","2018-09-18 05:32:10","1","353"
"2","2018-09-18 05:32:11","1","354"
"4","2018-09-18 05:32:15","1","355"
"2","2018-09-18 05:32:18","2","357"
"2","2018-09-18 05:32:27","1","358"
"4","2018-09-18 05:32:33","1","359"
"2","2018-09-18 05:32:37","1","360"
"2","2018-09-18 05:32:38","2","362"
"4","2018-09-18 05:32:50","1","363"
"2","2018-09-18 05:32:51","1","364"
"4","2018-09-18 05:33:01","1","365"
"2","2018-09-18 05:33:14","1","366"
"2","2018-09-18 05:33:23","1","367"
"2","2018-09-18 05:33:26","1","368"
"2","2018-09-18 05:33:29","1","369"
"2","2018-09-18 05:33:34","1","370"
"2","2018-09-18 05:33:37","1","371"
"4","2018-09-18 05:33:41","1","372"
"2","2018-09-18 05:33:57","1","373"
"4","2018-09-18 05:34:04","1","374"
"2","2018-09-18 05:34:06","1","375"
"4","2018-09-18 05:34:16","1","376"
"2","2018-09-18 05:34:29","1","377"
"2","2018-09-18 05:34:31","1","378"
"2","2018-09-18 05:34:32","1","379"
"2","2018-09-18 05:34:35","1","380"
"2","2018-09-18 05:34:36","1","381"
"2","2018-09-18 05:34:41","2","383"
"4","2018-09-18 05:34:42","1","384"
"2","2018-09-18 05:34:44","1","385"
"2","2018-09-18 05:34:45","1","386"
"2","2018-09-18 05:34:48","1","387"
"2","2018-09-18 05:34:54","1","388"
"2","2018-09-18 05:35:00","1","389"
"2","2018-09-18 05:35:01","1","390"
"2","2018-09-18 05:35:03","1","391"
"2","2018-09-18 05:35:06","2","393"
"2","2018-09-18 05:35:07","1","394"
"2","2018-09-18 05:35:08","1","395"
"2","2018-09-18 05:35:15","1","396"
"2","2018-09-18 05:35:23","1","397"
"2","2018-09-18 05:35:27","1","398"
"2","2018-09-18 05:35:36","1","399"
"2","2018-09-18 05:35:37","1","400"
"2","2018-09-18 05:35:38","1","401"
"2","2018-09-18 05:35:39","1","402"
"2","2018-09-18 05:35:40","1","403"
"2","2018-09-18 05:35:42","1","404"
"4","2018-09-18 05:35:43","1","405"
"2","2018-09-18 05:35:47","1","406"
"2","2018-09-18 05:35:50","1","407"
"2","2018-09-18 05:35:54","1","408"
"4","2018-09-18 05:36:06","1","409"
"2","2018-09-18 05:36:09","1","410"
"2","2018-09-18 05:36:10","1","411"
"2","2018-09-18 05:36:17","2","413"
"2","2018-09-18 05:36:19","1","414"
"2","2018-09-18 05:36:28","1","415"
"2","2018-09-18 05:36:31","1","416"
"2","2018-09-18 05:36:43","1","417"
"4","2018-09-18 05:36:45","1","418"
"2","2018-09-18 05:36:48","2","420"
"4","2018-09-18 05:36:52","1","421"
"2","2018-09-18 05:36:59","1","422"
"2","2018-09-18 05:37:08","1","423"
"2","2018-09-18 05:37:09","1","424"
"2","2018-09-18 05:37:15","1","425"
"2","2018-09-18 05:37:16","1","426"
"2","2018-09-18 05:37:20","2","428"
"4","2018-09-18 05:37:26","1","429"
"2","2018-09-18 05:37:27","2","431"
"2","2018-09-18 05:37:29","2","433"
"2","2018-09-18 05:37:36","1","434"
"2","2018-09-18 05:37:42","1","435"
"2","2018-09-18 05:37:43","1","436"
"2","2018-09-18 05:37:44","2","438"
"2","2018-09-18 05:37:54","1","439"
"2","2018-09-18 05:37:57","1","440"
"2","2018-09-18 05:38:01","1","441"
"2","2018-09-18 05:38:06","1","442"
"2","2018-09-18 05:38:08","1","443"
"2","2018-09-18 05:38:12","2","445"
"4","2018-09-18 05:38:21","1","446"
"2","2018-09-18 05:38:26","1","447"
"4","2018-09-18 05:38:30","1","448"
"2","2018-09-18 05:38:33","1","449"
"2","2018-09-18 05:38:36","1","450"
"4","2018-09-18 05:38:38","1","451"
"2","2018-09-18 05:38:49","1","452"
"2","2018-09-18 05:38:50","1","453"
"4","2018-09-18 05:38:57","1","454"
"2","2018-09-18 05:38:58","2","456"
"2","2018-09-18 05:39:00","1","457"
"2","2018-09-18 05:39:13","1","458"
"2","2018-09-18 05:39:18","1","459"
"2","2018-09-18 05:39:20","1","460"
"4","2018-09-18 05:39:21","1","461"
"2","2018-09-18 05:39:23","1","462"
"2","2018-09-18 05:39:26","2","464"
"4","2018-09-18 05:39:31","1","465"
"4","2018-09-18 05:39:34","1","466"
"4","2018-09-18 05:39:38","1","467"
"2","2018-09-18 05:39:42","1","468"
"2","2018-09-18 05:39:47","1","469"
"2","2018-09-18 05:39:49","1","470"
"2","2018-09-18 05:39:54","3","473"
"2","2018-09-18 05:39:55","1","474"
"2","2018-09-18 05:39:56","1","475"
"2","2018-09-18 05:39:57","1","476"
"2","2018-09-18 05:39:59","1","477"
"2","2018-09-18 05:40:03","2","479"
"4","2018-09-18 05:40:06","1","480"
"2","2018-09-18 05:40:07","1","481"
"2","2018-09-18 05:40:08","1","482"
"2","2018-09-18 05:40:18","1","483"
"4","2018-09-18 05:40:20","1","484"
"4","2018-09-18 05:40:27","1","485"
"2","2018-09-18 05:40:28","1","486"
"2","2018-09-18 05:40:29","1","487"
"2","2018-09-18 05:40:36","1","488"
"2","2018-09-18 05:40:37","1","489"
"2","2018-09-18 05:40:38","1","490"
"2","2018-09-18 05:40:40","1","491"
"2","2018-09-18 05:40:41","1","492"
"2","2018-09-18 05:40:42","1","493"
"2","2018-09-18 05:40:44","2","495"
"2","2018-09-18 05:40:48","1","496"
"4","2018-09-18 05:40:54","1","497"
"2","2018-09-18 05:40:59","1","498"
"4","2018-09-18 05:41:00","2","500"
"2","2018-09-18 05:41:03","1","501"
"4","2018-09-18 05:41:08","1","502"
"2","2018-09-18 05:41:14","1","503"
"2","2018-09-18 05:41:19","1","504"
"4","2018-09-18 05:41:26","2","506"
"2","2018-09-18 05:41:27","1","507"
"2","2018-09-18 05:41:28","1","508"
"4","2018-09-18 05:41:30","1","509"
"2","2018-09-18 05:41:32","2","511"
"2","2018-09-18 05:41:35","1","512"
"2","2018-09-18 05:41:37","1","513"
"2","2018-09-18 05:41:41","1","514"
"4","2018-09-18 05:41:52","1","515"
"2","2018-09-18 05:41:55","2","517"
"4","2018-09-18 05:42:01","1","518"
"2","2018-09-18 05:42:12","1","519"
"2","2018-09-18 05:42:20","1","520"
"2","2018-09-18 05:42:23","1","521"
"2","2018-09-18 05:42:25","1","522"
"2","2018-09-18 05:42:26","2","524"
"2","2018-09-18 05:42:30","1","525"
"2","2018-09-18 05:42:31","1","526"
"2","2018-09-18 05:42:34","1","527"
"4","2018-09-18 05:42:35","1","528"
"2","2018-09-18 05:42:37","1","529"
"4","2018-09-18 05:42:38","1","530"
"2","2018-09-18 05:42:44","1","531"
"2","2018-09-18 05:42:45","2","533"
"2","2018-09-18 05:42:47","2","535"
"2","2018-09-18 05:42:53","1","536"
"4","2018-09-18 05:42:57","1","537"
"2","2018-09-18 05:43:00","3","540"
"2","2018-09-18 05:43:02","2","542"
"2","2018-09-18 05:43:04","1","543"
"2","2018-09-18 05:43:07","1","544"
"2","2018-09-18 05:43:11","1","545"
"2","2018-09-18 05:43:13","1","546"
"2","2018-09-18 05:43:14","1","547"
"2","2018-09-18 05:43:15","1","548"
"4","2018-09-18 05:43:18","1","549"
"4","2018-09-18 05:43:19","1","550"
"2","2018-09-18 05:43:20","1","551"
"2","2018-09-18 05:43:21","1","552"
"2","2018-09-18 05:43:22","1","553"
"2","2018-09-18 05:43:26","1","554"
"2","2018-09-18 05:43:29","1","555"
"2","2018-09-18 05:43:32","1","556"
